Repository Name,Created At,Stars,Pull Requests,Releases,Issues,Closed Issues,Language
sway,2021-01-19T20:54:33Z,62453,3718,162,3185,2352,Rust
obs-studio,2013-10-01T02:40:31Z,62392,7083,214,4322,3748,C
n8n,2019-06-22T09:24:21Z,62283,10830,291,2590,2162,TypeScript
resume.github.com,2011-02-06T13:39:55Z,62257,184,0,119,64,JavaScript
awesome-public-datasets,2014-11-20T06:20:50Z,62096,347,1,118,48,N/A
tabby,2016-12-23T09:06:10Z,62029,3994,195,5416,3298,TypeScript
awesome-cpp,2014-07-17T08:51:11Z,61971,1025,0,576,232,N/A
openai-cookbook,2022-03-11T02:08:53Z,61963,997,0,515,482,MDX
echarts,2013-04-03T03:18:59Z,61950,1918,118,18762,16729,TypeScript
caddy,2015-01-13T19:45:03Z,61817,2501,123,4140,4006,Go
socket.io,2010-03-11T18:24:48Z,61651,875,75,3585,3416,TypeScript
nocode,2018-02-06T23:54:00Z,61585,628,1,4738,693,Dockerfile
scikit-learn,2010-08-17T09:43:38Z,61203,18406,45,11390,9826,Python
redux,2015-05-29T23:53:15Z,61069,2570,78,2052,2016,TypeScript
SecLists,2012-02-19T01:30:18Z,60923,834,27,276,274,PHP
Java,2016-07-16T10:21:02Z,60907,4811,0,1073,1070,Java
AppFlowy,2021-06-16T12:56:48Z,60838,3931,98,3303,2408,Dart
Apollo-11,2014-04-03T15:45:02Z,60620,528,0,381,324,Assembly
awesome-scalability,2017-12-27T03:46:40Z,60567,96,0,0,0,N/A
cs-self-learning,2021-10-20T13:43:42Z,60517,337,4,190,98,HTML
atom,2012-01-20T18:18:21Z,60338,5280,538,17112,16149,JavaScript
lodash,2012-04-07T04:11:46Z,60171,1430,2,4292,4224,JavaScript
architect-awesome,2018-04-06T13:30:58Z,60020,81,0,71,22,N/A
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,59991,710,0,176,142,Nunjucks
design-resources-for-developers,2020-05-06T14:40:35Z,59966,1359,0,100,100,N/A
markdown-here,2012-05-13T03:27:22Z,59806,88,14,624,319,JavaScript
awesome-nodejs,2014-07-11T13:35:34Z,59678,1127,0,102,100,N/A
jquery,2009-04-03T15:20:14Z,59406,3074,10,2346,2267,JavaScript
awesome-courses,2014-11-15T18:36:49Z,59091,267,0,80,39,N/A
new-pac,2016-03-23T08:43:36Z,58792,5,0,1704,1284,Python
angular.js,2010-01-06T00:34:37Z,58762,7995,0,9038,8647,JavaScript
annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,58713,125,0,135,105,Python
immich,2022-02-03T15:56:27Z,58676,6395,233,4810,4370,TypeScript
shadowsocks-windows,2013-01-14T07:54:16Z,58617,507,55,2922,2743,C#
docusaurus,2017-06-20T16:13:53Z,58447,6331,149,3202,2917,TypeScript
open-interpreter,2023-07-14T07:10:44Z,58423,570,48,1001,792,Python
act,2019-01-02T19:53:43Z,57933,1237,82,1210,1015,Go
localsend,2022-12-16T00:46:07Z,57920,731,24,1190,599,Dart
fuel-core,2020-08-27T21:12:14Z,57793,1666,113,1011,866,Rust
localstack,2016-10-25T23:48:03Z,57793,6394,88,5828,5561,Python
alacritty,2016-02-18T05:02:30Z,57740,2428,101,5999,5682,Rust
llama,2023-02-14T09:29:12Z,57690,197,0,1068,647,Python
spring-framework,2010-12-08T04:04:45Z,57376,5123,324,26456,26195,Java
prometheus,2012-11-24T11:14:12Z,57358,9531,327,5922,5394,Go
lazygit,2018-05-19T00:53:06Z,56871,1807,158,2106,1367,Go
html5-boilerplate,2010-01-24T18:03:24Z,56792,1768,34,1349,1343,JavaScript
rustlings,2015-09-15T02:25:18Z,56508,1483,45,701,667,Rust
rails,2008-04-11T02:19:47Z,56500,36169,145,17986,17477,Ruby
nerd-fonts,2014-12-05T04:31:17Z,56467,603,37,1033,1018,CSS
nuxt,2016-10-26T11:18:47Z,56209,7257,234,15894,15056,TypeScript
lobe-chat,2023-05-21T07:19:12Z,56000,2364,1000,3165,2636,TypeScript
gatsby,2015-05-21T22:43:05Z,55743,22287,149,14088,13881,JavaScript
DeepLearning-500-questions,2018-06-27T06:36:45Z,55421,344,0,191,81,JavaScript
private-gpt,2023-05-02T09:15:31Z,55281,474,10,1200,961,Python
leetcode,2018-03-30T09:13:51Z,55053,315,40,257,248,JavaScript
you-get,2012-08-20T15:53:36Z,55008,1081,123,0,0,Python
awesome-flutter,2017-05-07T11:45:27Z,54848,949,0,0,0,Dart
zed,2021-02-20T03:01:06Z,54640,12289,728,10953,8097,Rust
ghidra,2019-03-01T03:27:48Z,54381,1440,42,5317,3829,Java
awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,54298,60,0,96,58,N/A
scrapy,2010-02-22T02:01:14Z,54269,3525,39,3089,2653,Python
element,2016-09-03T06:19:26Z,54187,5155,145,17809,15250,Vue
face_recognition,2017-03-03T21:52:39Z,54186,235,2,1353,594,Python
react-router,2014-05-16T22:22:51Z,54111,3990,293,7827,7624,TypeScript
leetcode-master,2019-12-14T12:05:42Z,54067,2642,0,249,64,Shell
tldr,2013-12-08T07:34:43Z,53731,14224,5,1415,1238,Markdown
ChatGPT,2022-12-07T09:43:02Z,53627,169,34,1129,350,Rust
git,2008-07-23T14:21:26Z,53601,1631,0,0,0,C
Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,53574,142,0,1088,890,Python
Prompt-Engineering-Guide,2022-12-16T16:04:50Z,53543,392,0,207,70,MDX
traefik,2015-09-13T19:04:02Z,53347,5319,459,6156,5538,Go
faceswap,2017-12-19T09:44:13Z,53314,526,4,873,844,Python
gpt-engineer,2023-04-29T12:52:15Z,53157,613,20,488,469,Python
normalize.css,2011-05-04T10:20:25Z,52802,396,0,512,461,CSS
weekly,2018-10-13T12:36:07Z,52631,126,0,5873,936,N/A
drawio-desktop,2017-05-25T20:58:42Z,52621,38,150,1529,1447,JavaScript
openpilot,2016-11-24T01:33:30Z,52616,14501,55,2885,2774,Python
requests,2011-02-13T18:38:17Z,52540,2581,12,4011,3822,Python
yolov5,2020-05-18T03:45:11Z,52494,2808,10,9361,9159,Python
mkcert,2018-06-25T05:33:03Z,52379,165,14,340,239,Go
nocodb,2017-10-29T18:51:48Z,52184,5035,162,3808,3197,TypeScript
Stirling-PDF,2023-01-27T18:22:42Z,51682,1757,112,1106,910,Java
hackingtool,2020-04-11T09:21:31Z,51648,131,0,364,318,Python
awesome-android-ui,2014-12-24T01:45:03Z,51603,235,0,109,93,N/A
ionic-framework,2013-08-20T23:06:02Z,51470,7987,889,21908,21373,TypeScript
bat,2018-04-21T10:52:23Z,51230,1664,41,1451,1153,Rust
Semantic-UI,2013-04-08T23:32:04Z,51152,883,154,6233,5266,JavaScript
material-design-icons,2014-10-08T18:01:28Z,51141,172,16,1484,1145,N/A
project-layout,2017-09-09T16:33:26Z,51112,148,0,110,44,Makefile
Magisk,2016-09-08T12:42:53Z,51040,2520,143,6031,6000,C++
anime,2016-03-13T21:37:45Z,50912,163,15,720,509,JavaScript
rich,2019-11-10T15:28:09Z,50855,1204,168,1364,1168,Python
guava,2014-05-29T16:23:17Z,50539,2685,48,3600,2970,Java
pi-hole,2014-06-08T15:02:55Z,50506,2657,111,2920,2888,Shell
ripgrep,2016-03-11T02:02:33Z,50457,867,72,1660,1543,Rust
zustand,2019-04-09T09:10:06Z,50411,915,92,686,683,TypeScript
minio,2015-01-14T19:23:58Z,50318,10974,510,7621,7597,Go
grok-1,2024-03-17T08:53:38Z,50097,72,0,220,140,Python
kotlin,2012-02-13T17:29:58Z,50052,5367,248,0,0,Kotlin
prettier,2016-11-29T17:13:37Z,50003,10030,123,6787,5599,JavaScript
uBlock,2015-04-01T17:51:11Z,49855,404,273,3445,3433,JavaScript
pdf.js,2011-04-26T06:32:03Z,49798,9024,70,10086,9701,JavaScript
Docker-OSX,2020-06-04T11:01:37Z,49761,133,0,646,275,Shell
github-cheat-sheet,2014-04-12T16:38:42Z,49641,174,0,70,48,N/A
jekyll,2008-10-20T06:29:03Z,49639,4535,112,4871,4765,Ruby
bulma,2016-01-23T23:48:34Z,49593,1204,21,2694,2380,CSS
dive,2018-05-13T15:44:01Z,49589,224,26,337,167,Go
meilisearch,2018-04-23T11:45:28Z,49370,2260,240,2134,1950,Rust
astro,2021-03-15T17:19:47Z,49306,7765,1000,5190,5044,TypeScript
DefinitelyTyped,2012-10-05T16:39:45Z,49246,60794,1,8078,7514,TypeScript
langflow,2023-02-08T22:28:03Z,49045,4367,249,1972,1668,Python
rclone,2014-03-16T16:19:57Z,48983,2713,108,5619,4680,Go
segment-anything,2023-03-23T17:03:03Z,48977,120,0,686,172,Jupyter Notebook
core,2018-06-12T13:49:36Z,48886,5115,238,5525,4876,TypeScript
awesome-rust,2014-07-17T10:45:10Z,48804,1739,0,136,126,Rust
trackerslist,2016-04-24T11:57:57Z,48754,59,0,463,456,N/A
chinese-poetry,2016-09-02T03:32:25Z,48722,167,1,205,91,JavaScript
marktext,2017-11-12T16:05:25Z,48616,1073,36,2837,1629,JavaScript
Ghost,2013-05-04T11:09:13Z,48475,15149,845,6997,6952,JavaScript
etcd,2013-07-06T21:57:21Z,48458,12181,243,6797,6510,Go
go-ethereum,2013-12-26T13:05:46Z,48434,11275,207,8238,8048,Go
awesome-ios,2014-07-10T16:03:45Z,48270,2702,0,485,485,Swift
cypress,2015-03-04T00:46:28Z,48253,8205,358,14785,13394,TypeScript
moment,2011-03-01T02:46:06Z,48073,2085,0,4137,3905,JavaScript
clash-verge-rev,2023-11-21T18:24:03Z,48058,191,42,2414,2232,TypeScript
RxJava,2013-01-08T20:11:48Z,48025,3993,235,3167,3156,Java
powerlevel10k,2019-02-24T19:09:45Z,48009,262,33,2529,2446,Shell
hacker-scripts,2015-11-21T19:05:09Z,47997,145,0,87,52,JavaScript
FFmpeg,2011-04-14T14:12:38Z,47940,384,0,0,0,C
joplin,2017-01-16T21:49:41Z,47826,4991,369,6818,6341,TypeScript
mastodon,2016-02-22T15:01:25Z,47795,19905,262,11800,7903,Ruby
hiring-without-whiteboards,2017-03-15T05:09:01Z,47489,1464,0,0,0,JavaScript
dayjs,2018-04-10T09:26:44Z,47473,1100,119,1716,840,JavaScript
OpenHands,2024-03-13T03:33:31Z,47409,4499,42,2260,2014,Python
appwrite,2019-04-08T16:36:25Z,47342,4549,104,3837,3258,TypeScript
professional-programming,2015-11-07T05:07:52Z,47340,62,0,28,28,Python
gitea,2016-11-01T02:13:26Z,47236,19258,205,14176,11630,Go
starship,2019-04-02T03:23:12Z,47180,3468,134,2380,1722,Rust
ImHex,2020-11-10T14:27:00Z,47171,696,76,1276,1070,C++
MetaGPT,2023-06-30T09:04:55Z,47167,919,21,769,716,Python
algorithm-visualizer,2016-05-15T00:27:45Z,47153,255,0,114,75,JavaScript
big-list-of-naughty-strings,2015-08-08T20:57:20Z,46973,161,0,101,32,Python
first-contributions,2016-09-20T14:35:09Z,46964,93452,0,857,830,N/A
llm-course,2023-06-17T22:16:25Z,46849,19,0,74,27,Jupyter Notebook
awesome-wechat-weapp,2016-09-22T20:04:48Z,46765,305,0,0,0,N/A
Motrix,2018-12-18T11:45:05Z,46720,280,21,1325,589,JavaScript
PaddleOCR,2020-05-08T10:38:16Z,46651,3238,16,9444,9417,Python
serverless,2015-04-21T03:48:40Z,46596,5670,431,6447,5319,JavaScript
PowerShell,2016-01-13T23:41:35Z,46531,9028,181,12695,11705,C#
alist,2020-12-23T17:40:29Z,46523,953,124,3974,3612,Go
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,46463,58,0,0,0,N/A
julia,2011-04-21T07:01:50Z,46456,31176,171,24711,20719,Julia
okhttp,2012-07-23T13:42:55Z,46155,4390,0,4115,3970,Kotlin
design-patterns-for-humans,2017-02-16T21:24:39Z,45984,87,0,52,47,N/A
react,2018-06-02T04:08:16Z,45949,499,0,216,212,JavaScript
learn-regex,2017-07-22T12:21:03Z,45899,179,0,86,35,N/A
AFFiNE,2022-07-31T18:45:21Z,45896,7243,423,2441,2098,TypeScript
Projects,2013-07-04T13:37:27Z,45802,119,0,74,33,N/A
v2ray-core,2015-09-04T11:42:53Z,45777,625,247,2584,2576,Go
gogs,2014-02-12T01:57:08Z,45510,2352,82,5117,4216,Go
x64dbg,2015-04-11T20:48:23Z,45462,864,2,2541,1918,C++
huginn,2013-03-10T06:00:31Z,44980,1328,1,2154,1568,Ruby
architecture-samples,2016-02-05T13:42:07Z,44784,493,0,480,346,Kotlin
30-Days-Of-Python,2019-11-19T17:24:16Z,44689,394,0,128,75,Python
quill,2012-07-30T23:23:18Z,44675,782,95,3708,3262,TypeScript
pandas,2010-08-24T01:37:33Z,44660,33727,109,27214,23598,Python
meteor,2012-01-19T01:58:17Z,44571,4198,0,9153,8879,JavaScript
pixijs,2013-01-21T22:40:50Z,44571,4473,283,5836,5461,TypeScript
jest,2013-12-10T00:18:04Z,44536,7413,203,7991,7719,TypeScript
json,2013-07-04T08:47:49Z,44485,1170,44,2283,2233,C++
type-challenges,2020-07-23T14:33:11Z,44457,744,0,34993,3643,TypeScript
AdminLTE,2013-12-25T02:52:40Z,44356,2716,75,2863,2734,Astro
terraform,2014-03-13T22:25:48Z,44223,14927,349,21259,19450,Go
Deep-Live-Cam,2023-09-24T13:19:31Z,44085,142,4,643,632,Python
open-source-ios-apps,2015-01-26T23:32:34Z,44012,1388,37,300,300,N/A
30-Days-Of-JavaScript,2019-12-23T14:07:40Z,43981,654,0,168,59,JavaScript
PythonDataScienceHandbook,2016-08-10T14:24:36Z,43925,208,0,199,78,Jupyter Notebook
query,2019-09-10T19:23:58Z,43909,3006,1000,2030,1981,TypeScript
fuels-ts,2021-09-03T18:11:03Z,43899,2282,143,1400,1315,TypeScript
fuels-rs,2021-10-31T22:33:54Z,43889,960,110,634,551,Rust
pocketbase,2022-07-05T06:06:21Z,43883,249,195,1719,1699,Go
hyper,2016-07-01T06:01:21Z,43731,4144,88,3787,2868,TypeScript
